ds;y
2009-08-21_08;0.726471545
2009-08-21_09;0.989601626
2009-08-21_10;1.153471545
2009-08-21_11;1.296995935
2009-08-21_12;1.403376016
2009-08-21_13;1.543542683
2009-08-21_14;1.292707317
2009-08-21_15;1.318038618
2009-08-21_16;1.349932927
2009-08-21_17;1.379654472
2009-08-21_18;1.401473577
2009-08-21_19;1.34303252
2009-08-21_20;1.310947154
2009-08-21_21;1.486093496
2009-08-21_22;1.518995935
2009-08-22_00;1.103180894
2009-08-22_01;0.811495935
2009-08-22_02;0.642997967
2009-08-22_03;0.567752033
2009-08-22_04;0.519089431
2009-08-22_05;0.482286585
2009-08-22_06;0.49621748
2009-08-22_07;0.537906504
2009-08-22_08;0.669239837
2009-08-22_09;0.994349593
2009-08-22_10;1.163231707
2009-08-22_11;1.344056911
2009-08-22_12;1.396873984
2009-08-22_13;1.608052846
2009-08-22_14;1.510719512
2009-08-22_15;1.331597561
2009-08-22_16;1.294784553
2009-08-22_18;1.490323171
2009-08-22_19;1.53195935
2009-08-22_20;1.528621951
2009-08-22_21;1.625493902
2009-08-22_22;1.463900407
2009-08-23_00;1.070906504
2009-08-23_01;0.839034553
2009-08-23_02;0.673119919
2009-08-23_03;0.57253252
2009-08-23_04;0.537416667
2009-08-23_06;0.546504065
2009-08-23_07;0.52529065
2009-08-23_08;0.647195122
2009-08-23_09;0.882965447
2009-08-23_10;1.219245935
2009-08-23_11;1.495113821
2009-08-23_12;1.632611789
2009-08-23_13;1.851461382
2009-08-23_14;1.71396748
2009-08-23_15;1.558343496
2009-08-23_16;1.42778252
2009-08-23_17;1.252418699
2009-08-23_18;1.33370935
2009-08-23_20;1.203713415
2009-08-23_21;1.399772358
2009-08-23_23;1.285038618
2009-08-24_00;1.039308943
2009-08-24_01;0.73479065
2009-08-24_02;0.6005
2009-08-24_03;0.515130081
2009-08-24_04;0.487880081
2009-08-24_06;0.502693089
2009-08-24_07;0.537418699
2009-08-24_08;0.717565041
2009-08-24_09;0.99302439
2009-08-24_10;1.201158537
2009-08-24_11;1.30101626
2009-08-24_12;1.363784553
2009-08-24_13;1.534150407
2009-08-24_14;1.416632114
2009-08-24_15;1.374804878
2009-08-24_16;1.342995935
2009-08-24_17;1.428115854
2009-08-24_18;1.519546748
2009-08-24_19;1.334904472
2009-08-24_20;1.358343496
